145,2019-04-10,Athletics,Stars
146,2019-04-10,Browns,Reds
147,2019-04-10,Monarchs,Grays
148,2019-04-10,Whales,Pilgrims
149,2019-04-10,Captains,Twins
150,2019-04-10,Pelicans,Highlanders
151,2019-04-10,Mudhens,Expos
152,2019-04-10,Blaze,Gypsies
153,2019-04-10,Knights,River Dogs
154,2019-04-10,Bandits,Indians
155,2019-04-10,Yellow Jackets,Pilots
156,2019-04-10,Firebirds,Colt .45s
157,2019-04-11,Athletics,Stars
158,2019-04-11,Browns,Reds
159,2019-04-11,Monarchs,Grays
160,2019-04-11,Whales,Pilgrims
161,2019-04-11,Captains,Twins
162,2019-04-11,Pelicans,Highlanders
163,2019-04-11,Mudhens,Expos
164,2019-04-11,Blaze,Gypsies
165,2019-04-11,Knights,River Dogs
166,2019-04-11,Bandits,Indians
167,2019-04-11,Yellow Jackets,Pilots
168,2019-04-11,Firebirds,Colt .45s
169,2019-04-12,Athletics,Stars
170,2019-04-12,Browns,Reds
171,2019-04-12,Monarchs,Grays
172,2019-04-12,Whales,Pilgrims
173,2019-04-12,Captains,Twins
174,2019-04-12,Pelicans,Highlanders
175,2019-04-12,Mudhens,Expos
176,2019-04-12,Blaze,Gypsies
177,2019-04-12,Knights,River Dogs
178,2019-04-12,Bandits,Indians
179,2019-04-12,Yellow Jackets,Pilots
180,2019-04-12,Firebirds,Colt .45s
181,2019-04-16,Pilots,Stars
182,2019-04-16,Highlanders,Twins
183,2019-04-16,Grays,River Dogs
184,2019-04-16,Pelicans,Captains
185,2019-04-16,Athletics,Yellow Jackets
186,2019-04-16,Firebirds,Whales
187,2019-04-16,Pilgrims,Colt .45s
188,2019-04-16,Reds,Browns
189,2019-04-16,Gypsies,Blaze
190,2019-04-16,Expos,Mudhens
191,2019-04-16,Bandits,Indians
192,2019-04-16,Monarchs,Knights
193,2019-04-17,Pilots,Stars
194,2019-04-17,Highlanders,Twins
195,2019-04-17,Grays,River Dogs
196,2019-04-17,Pelicans,Captains
197,2019-04-17,Athletics,Yellow Jackets
198,2019-04-17,Firebirds,Whales
199,2019-04-17,Pilgrims,Colt .45s
200,2019-04-17,Reds,Browns
201,2019-04-17,Gypsies,Blaze
202,2019-04-17,Expos,Mudhens
203,2019-04-17,Bandits,Indians
204,2019-04-17,Monarchs,Knights
205,2019-04-18,Pilots,Stars
206,2019-04-18,Highlanders,Twins
207,2019-04-18,Grays,River Dogs
208,2019-04-18,Pelicans,Captains
209,2019-04-18,Athletics,Yellow Jackets
210,2019-04-18,Firebirds,Whales
211,2019-04-18,Pilgrims,Colt .45s
212,2019-04-18,Reds,Browns
213,2019-04-18,Gypsies,Blaze
214,2019-04-18,Expos,Mudhens
215,2019-04-18,Bandits,Indians
216,2019-04-18,Monarchs,Knights
217,2019-04-19,Pilots,Stars
218,2019-04-19,Highlanders,Twins
219,2019-04-19,Grays,River Dogs
220,2019-04-19,Pelicans,Captains
221,2019-04-19,Athletics,Yellow Jackets
222,2019-04-19,Firebirds,Whales
223,2019-04-19,Pilgrims,Colt .45s
224,2019-04-19,Reds,Browns
225,2019-04-19,Gypsies,Blaze
226,2019-04-19,Expos,Mudhens
227,2019-04-19,Bandits,Indians
228,2019-04-19,Monarchs,Knights
229,2019-04-20,Yellow Jackets,Stars
230,2019-04-20,Pilots,Athletics
231,2019-04-20,Grays,Monarchs
232,2019-04-20,Captains,Highlanders
233,2019-04-20,Blaze,Mudhens
234,2019-04-20,Bandits,Reds
235,2019-04-20,Firebirds,Pilgrims
236,2019-04-20,Expos,Gypsies
237,2019-04-20,Twins,Pelicans
238,2019-04-20,Colt .45s,Whales
239,2019-04-20,Knights,River Dogs
240,2019-04-20,Indians,Browns
241,2019-04-21,Yellow Jackets,Stars
242,2019-04-21,Pilots,Athletics
243,2019-04-21,Grays,Monarchs
244,2019-04-21,Captains,Highlanders
245,2019-04-21,Blaze,Mudhens
246,2019-04-21,Bandits,Reds
247,2019-04-21,Firebirds,Pilgrims
248,2019-04-21,Expos,Gypsies
249,2019-04-21,Twins,Pelicans
250,2019-04-21,Colt .45s,Whales
251,2019-04-21,Knights,River Dogs
252,2019-04-21,Indians,Browns
253,2019-04-22,Yellow Jackets,Stars
254,2019-04-22,Pilots,Athletics
255,2019-04-22,Grays,Monarchs
256,2019-04-22,Captains,Highlanders
257,2019-04-22,Blaze,Mudhens
258,2019-04-22,Bandits,Reds
259,2019-04-22,Firebirds,Pilgrims
260,2019-04-22,Expos,Gypsies
261,2019-04-22,Twins,Pelicans
262,2019-04-22,Colt .45s,Whales
263,2019-04-22,Knights,River Dogs
264,2019-04-22,Indians,Browns
265,2019-04-23,Yellow Jackets,Stars
266,2019-04-23,Pilots,Athletics
267,2019-04-23,Grays,Monarchs
268,2019-04-23,Captains,Highlanders
269,2019-04-23,Blaze,Mudhens
270,2019-04-23,Bandits,Reds
271,2019-04-23,Firebirds,Pilgrims
272,2019-04-23,Expos,Gypsies
273,2019-04-23,Twins,Pelicans
274,2019-04-23,Colt .45s,Whales
275,2019-04-23,Knights,River Dogs
276,2019-04-23,Indians,Browns
